text_phone_area_code,Count
,479081
000,176564
007,1
013,1
019,1
040,1
041,1
051,1
06 ,1
061,2
070,2
073,1
078,2
089,1
091,7
10 ,1
102,1
103,1
108,1
112,3
120,1
122,3
123,3
125,6
131,1
132,4
133,1
136,1
137,1
139,1
151,1
16 ,2
160,1
163,1
165,1
167,1
175,1
178,1
185,3
191,1
193,4
197,1
200,1
201,150
202,265
203,198
204,13
205,219
206,385
207,201
208,613
209,366
210,779
212,14
213,142
214,1084
215,134
216,177
217,552
218,206
219,142
220,3
221,1
222,1
223,3
224,222
225,187
226,4
228,94
229,112
230,1
231,106
232,2
234,18
235,2
236,3
239,221
24 ,1
240,250
242,3
243,1
245,2
246,2
248,252
250,18
251,134
252,147
253,509
254,713
255,1
256,233
257,2
259,1
260,148
261,1
262,233
263,1
264,1
265,2
267,147
269,168
270,250
271,2
272,2
274,1
275,1
276,42
279,6
281,454
282,2
283,1
284,1
285,7
288,1
289,2
291,1
292,1
293,1
298,1
300,1
301,215
302,130
303,2119
304,172
305,224
306,21
307,566
308,1096
309,520
31 ,1
310,436
311,7
312,360
313,188
314,1781
315,424
316,240048
317,425
318,329
319,645
320,145
321,275
322,1
323,311
325,204
326,52
327,1
328,1
330,246
331,47
332,4
333,1
334,274
336,222
337,228
339,17
340,15
341,6
342,1
344,1
345,3
346,92
347,254
348,1
349,1
350,2
351,4
352,276
353,2
354,2
356,1
357,1
358,2
360,610
361,236
362,4
363,3
365,1
366,1
367,2
368,2
370,2
371,6
373,1
376,1
378,1
379,1
380,1
381,2
384,2
385,121
386,148
388,1
391,3
393,3
396,1
401,109
402,3868
403,29
404,472
405,2120
406,373
407,436
408,273
409,180
410,194
412,173
413,105
414,224
415,230
416,37
417,5050
418,4
419,211
420,4
422,3
423,217
424,84
425,345
426,1
428,2
430,6
431,1
432,196
434,123
435,212
437,1
438,1
440,136
441,1
442,39
443,341
444,1
445,3
446,1
447,1
448,1
45 ,1
450,3
452,4
454,1
455,1
456,1
458,15
459,1
460,3
462,1
463,5
464,4
465,1
466,1
467,1
468,1
469,632
470,112
471,8
473,2
474,1
475,18
476,1
478,122
479,1012
480,844
481,1
482,1
484,153
485,18
490,1
492,2
493,1
494,1
496,3
498,1
500,3
501,514
502,243
503,504
504,212
505,724
506,3
507,320
508,131
509,342
510,274
511,3
512,829
513,311
514,19
515,1019
516,127
517,180
518,138
519,15
520,632
521,1
523,1
524,1
525,2
526,2
527,2
530,395
531,82
537,1
538,1
539,34
540,312
541,455
545,1
547,2
551,27
553,2
555,3
557,1
559,355
560,2
561,236
562,291
563,275
564,6
565,1
566,1
567,38
569,1
570,201
571,263
572,6
573,1903
574,167
575,350
577,2
578,1
579,2
580,1700
581,1
582,3
583,1
584,1
585,156
586,86
587,2
588,2
591,3
593,1
599,2
6  ,1
600,1
601,218
602,674
603,200
604,17
605,646
606,60
607,131
608,345
609,213
610,152
612,551
613,43
614,281
615,482
616,202
617,174
618,591
619,697
620,277784
621,11
622,9
623,363
624,4
625,9
626,298
627,3
628,16
629,51
630,682
631,137
632,2
636,791
639,4
640,6
641,304
642,2
644,2
646,249
647,10
648,1
649,4
650,135
651,334
652,2
654,2
656,3
657,23
659,4
660,1289
661,424
662,172
664,2
666,1
667,6
668,1
669,14
670,13
671,6
672,4
673,1
675,3
676,2
678,478
679,1
680,12
681,4
682,271
685,8
686,2
687,1
688,1
689,9
691,3
692,1
700,1
701,415
702,869
703,472
704,308
705,22
706,486
707,368
708,312
709,6
710,5
712,510
713,372
714,470
715,226
716,195
717,290
718,77
719,2540
720,2417
722,1
723,1
724,140
725,25
726,5
727,265
728,1
730,2
731,104
732,146
733,1
734,224
735,2
736,1
737,40
738,2
739,2
740,149
741,1
743,2
744,2
745,3
746,1
747,20
748,3
749,2
750,2
751,2
752,4
753,3
754,21
755,17
757,560
758,53
759,1
760,820
761,1
762,28
763,211
765,254
768,2
769,14
770,322
771,2
772,92
773,418
774,74
775,281
776,2
777,1
778,15
779,39
780,14
781,74
782,53
783,21
784,81
785,338083
786,398
787,315
788,41
789,14
790,1
791,2
793,2
794,1
795,64
798,7
799,1
800,111
801,607
802,99
803,318
804,271
805,484
806,837
807,5
808,697
809,2
810,123
812,268
813,422
814,180
815,498
816,37108
817,1015
818,350
819,10
820,8
822,2
825,1
826,6
827,1
828,174
830,148
831,159
832,716
833,2
834,1
835,2
836,1
837,1
838,2
840,1
841,1
842,2
843,275
844,4
845,142
846,1
847,527
848,17
850,464
851,2
852,2
853,1
854,3
856,79
857,45
858,226
859,203
860,232
861,1
862,32
863,151
864,188
865,154
866,18
868,1
869,1
870,378
872,14
873,1
874,1
875,12
876,5
877,10
880,3
881,1
883,1
885,1
886,1
888,22
889,2
893,2
896,2
899,1
9  ,1
900,1
901,358
902,5
903,577
904,327
905,15
906,55
907,358
908,181
909,484
910,603
911,7
912,438
913,316148
914,214
915,477
916,565
917,381
918,3266
919,421
920,279
921,3
923,30
924,4
925,228
926,2
927,2
928,421
929,71
930,2
931,386
932,3
933,2
934,1
935,2
936,193
937,264
938,2
939,58
940,365
941,196
942,3
943,8
944,2
945,14
946,1
947,1
948,2
949,319
950,1
951,547
952,215
954,259
955,1
956,190
957,2
959,4
960,4
962,3
963,1
964,1
965,1
966,1
969,1
970,1666
971,145
972,506
973,127
974,2
975,1
978,99
979,167
980,68
981,3
983,1
984,15
985,132
986,4
987,1
989,175
990,1
991,2
993,1
999,14
