polling_place_text_city,Count
,12248
Abbyville,132
Abilene,5465
Admire,344
Agra,322
Allen,328
Almena,364
Altamont,954
Alton,187
Altoona,1027
Americus,983
Andale,1421
Andover,12843
Anthony,1833
Arcadia,340
Argonia,735
Arkansas City,7442
Arlington,531
Arma,3001
Ashland,917
Assaria,791
Atchison,9335
Atlanta,379
Attica,557
Auburn,2369
Augusta,9358
Aurora,206
Axtell,557
Baileyville,511
Baldwin City,6627
Barnes,269
Bartlett,372
Basehor,9090
Baxter Springs,3475
Beattie,320
Bel Aire,6740
Belle Plaine,2479
Belleville,1746
Beloit,3072
Belpre,146
Bennington,1004
Bentley,815
Benton,2185
Bern,563
Berryton,1586
Bird City,478
Bison,321
Blue Mound,338
Blue Rapids,1405
Bonner Springs,5220
Bronson,301
Brookville,360
Bucklin,680
Bucyrus,545
Buhler,1328
Bunker Hill,396
Burden,617
Burlingame,1438
Burlington,1757
Burns,235
Burr Oak,412
Burrton,1513
Bushton,292
Caldwell,1089
Caney,1237
Canton,732
Carbondale,1826
Carlton,425
Cassoday,418
Cawker City,368
Centerville,340
Centralia,515
Chanute,7592
Chapman,1822
Chase,563
Cheney,2349
Cherokee,812
Cherryvale,1864
Chetopa,914
Cimarron,2499
Circleville,376
Claflin,927
Clay Center,4393
Clearwater,3303
Clifton,538
Clyde,644
Codell,114
Coffeyville,6042
Colby,5347
Coldwater,671
Colony,512
Columbus,4226
Colwich,1794
Concordia,4012
Conway Springs,1818
Corning,397
Cottonwood Falls,1838
Council Grove,2334
Courtland,533
Cuba,392
Culver,150
Cummings,442
Cunningham,554
Damar,148
De Soto,5824
Dearing,1102
Deerfield,529
Delia,507
Delphos,355
Denison,438
Dennis,520
Denton,563
Derby,21106
Dexter,408
Dighton,969
Dodge City,14460
Douglass,1634
Dover,808
Downs,796
Dresden,105
Dwight,451
Eastborough,637
Easton,2992
Edgerton,1936
Edna,930
Edwardsville,2992
Effingham,663
El Dorado,10019
Elk City,383
Elkhart,1620
Ellinwood,1843
Ellis,1869
Ellsworth,2078
Elwood,696
Emporia,16235
Enterprise,975
Erie,1188
Eudora,5368
Eureka,2600
Fairview,1248
Fairway,1652
Falun,224
Farlington,417
Florence,422
Fontana,462
Ford,236
Fort Scott,9223
Fowler,634
Frankfort,1027
Fredonia,2122
Frontenac,2927
Fulton,640
Galena,3188
Galesburg,686
Galva,853
Garden City,20077
Garden Plain,1492
Gardner,16784
Garfield,155
Garnett,2914
Gas,1263
Gaylord,303
Geneseo,299
Geuda Springs,234
Girard,3134
Glasco,419
Glen Elder,388
Goddard,4526
Goessel,995
Goff,291
Goodland,3778
Gorham,392
Gove,265
Grainfield,464
Grantville,1028
Great Bend,11033
Greeley,692
Greensburg,718
Gridley,670
Grinnell,334
Gypsum,1005
Haddam,227
Halstead,1778
Hamilton,410
Hanover,759
Hanston,386
Harper,1334
Hartford,524
Harveyville,419
Havana,438
Haven,1154
Haviland,540
Hays,13885
Hays      ,2836
Haysville,9857
Healy,159
Hedville,627
Hepler,340
Herington,2248
Hesston,3113
Hiawatha,3001
Highland,754
Hill City,1771
Hillsboro,2308
Hillsdale,1135
Hoisington,2752
Holcomb,1753
Holton,3472
Holyrood,404
Hope,423
Horton,1809
Howard,826
Hoxie,1527
Hoyt,1686
Hugoton,2922
Humboldt,2005
Hunter,115
Hutchinson,32374
Independence,7414
Inman,1684
Iola,4511
Jamestown,262
Jennings,127
Jetmore,902
Jewell,681
Johnson,1046
Junction City,18213
Kanopolis,540
Kansas City,83483
Kechi,2881
Kensington,597
Kincaid,484
Kingman,2770
Kinsley,1085
Kiowa,957
Kipp,261
Kirwin,164
Kismet,380
La Cygne,1846
LaCrosse,1203
Lake Quivira,926
Lakin,1671
Lancaster,603
Lane,480
Langdon,144
Lansing,7867
Larned,3285
Lawrence,66891
Le Roy,808
Leavenworth,22644
Leawood,42888
Lebanon,387
Lecompton,1239
Lenexa,46362
Lenora,288
Leon,1121
Leonardville,546
Leoti,1383
Lewis,439
Liberal,10497
Liberty,373
Lincoln,1591
Lincolnville,531
Lindsborg,2721
Linn,614
Linn Valley,905
Linwood,3499
Little River,637
Logan,447
Long Island,201
Longton,467
Lorraine,160
Louisburg,6431
Lucas,302
Lyndon,1832
Lyons,2607
Madison,869
Maize,4705
Manhattan,36957
Mankato,1075
Maple Hill,854
Mapleton,446
Marion,2196
Marquette,578
Marysville,3577
Mayetta,1745
Mayfield,196
Mc Louth,1269
McCracken,308
Mccune,576
Mcfarland,261
McPherson,10203
Meade,1721
Medicine Ldg,1952
Melvern,1264
Meriden,2615
Merriam,6694
Milford,1273
Miltonvale,436
Minneapolis,1631
Minneola,639
Mission,9188
Mission Hills,2532
Moline,569
Montezuma,830
Moran,976
Moscow,357
Mound City,1612
Mound Valley,506
Moundridge,1830
Mount Hope,1153
Mullinville,264
Mulvane,5579
Munden,331
Murdock,880
Muscotah,567
Natoma,268
Neodesha,1691
Neosho Rapids,725
Ness City,1925
Netawaka,252
New Cambria,413
New Strawn,993
Newton,13981
Nickerson,763
Norcatur,158
North Newton,1312
Norton,2712
Nortonville,583
Norwich,715
Oberlin,1615
Offerle,182
Ogden,2768
Olathe,101768
Olpe,861
Olsburg,643
Onaga,1225
Osage City,2780
Osawatomie,4284
Osborne,1381
Oskaloosa,1468
Oswego,1431
Otis,353
Ottawa,12066
Overbrook,2984
Overland Park,140499
Oxford,1053
Ozawkie,1899
Palco,256
Paola,10105
Park City,3537
Parker,692
Parkerfield,1221
Parsons,7784
Partridge,316
Paxico,758
Peabody,973
Peck,593
Perry,1785
Phillipsburg,2642
Pittsburg,15577
Plains,1055
Plainville,1533
Pleasanton,1379
Plevna,168
Pomona,1322
Prairie View,183
Prairie Village,15012
Pratt,5496
Prescott,351
Pretty Prairie,855
Princeton,587
Protection,422
Quinter,820
Randolph,918
Rantoul,593
Reading,300
Redfield,1277
Richmond,540
Riley,838
Riverton,2024
Robinson,495
Roeland Park,5690
Rolla,404
Rosalia,432
Rose Hill,5835
Rossville,1233
Roxbury,260
Rozel,164
Russell,3168
Sabetha,2461
Salina,32286
Satanta,844
Scammon,1096
Scandia,488
Scott City,3483
Scranton,813
Sedgwick,1165
Selden,305
Seneca,2288
Severy,675
Sharon Springs,1138
Shawnee,52786
Silver Lake,2640
Smith Center,1496
Smolan,558
Soldier,387
Solomon,1305
South Haven,555
South Hutchinson,2246
Spearville,978
Spring Hill,8998
St George,3069
St John,2612
St Marys,2963
St Paul,839
Stark,279
Sterling,2331
Stilwell,4065
Stockton,1478
Sublette,1320
Summerfield,244
Sycamore,834
Sylvan Grove,520
Sylvia,222
Syracuse,1314
Talmage,966
Tampa,457
Tecumseh,3566
Tescott,262
Thayer,847
Tipton,220
Tonganoxie,8434
Topeka,103323
Toronto,369
Towanda,2319
Tribune,879
Troy,1272
Turon,304
Tyro,839
Udall,1411
Ulysses,3754
Uniontown,591
Valley Center,6208
Valley Falls,1261
Victoria,1333
Viola,3100
Wa Keeney,2040
Wakarusa,716
Wakefield,1229
Waldo,352
Walton,636
Wamego,4935
Washington,1376
Wathena,1461
Waverly,758
Wayside,260
Weir,1122
Welda,593
Wellington,6798
Wells,313
Wellsville,2226
Westmoreland,1206
Westphalia,437
Westwood,2732
Wetmore,378
White City,637
White Cloud,154
Whitewater,1705
Whiting,365
Wichita,256381
Williamsburg,921
Wilmore,51
Wilson,665
Winchester,794
Windom,121
Winfield,8904
Woodbine,350
Yates Center,1826
Yoder,406
Zenda,521
Zurich,124
