district_ks,Count
KS0001,51010
KS0002,45109
KS0003,54497
KS0004,37226
KS0005,49158
KS0006,38234
KS0007,62320
KS0008,56760
KS0009,54813
KS0010,60270
KS0011,59033
KS0012,46696
KS0013,54733
KS0014,54663
KS0015,50015
KS0016,57002
KS0017,43742
KS0018,52416
KS0019,42474
KS0020,51814
KS0021,54084
KS0022,38363
KS0023,49167
KS0024,49970
KS0025,39971
KS0026,50372
KS0027,52006
KS0028,40894
KS0029,39205
KS0030,50099
KS0031,51537
KS0032,51288
KS0033,45936
KS0034,50597
KS0035,61729
KS0036,50842
KS0037,50060
KS0038,38978
KS0039,38837
KS0040,49964
