BirthYear,Count
950,1
1800,1
1801,6
1891,1
1900,7
1901,13
1902,1
1903,1
1904,2
1905,2
1906,1
1907,3
1908,5
1909,2
1910,4
1911,8
1912,8
1913,11
1914,13
1915,15
1916,23
1917,27
1918,49
1919,93
1920,104
1921,169
1922,219
1923,325
1924,438
1925,630
1926,831
1927,1244
1928,1559
1929,1974
1930,2508
1931,3117
1932,3658
1933,4175
1934,5030
1935,5664
1936,6559
1937,7323
1938,8380
1939,8893
1940,9916
1941,11404
1942,13145
1943,14446
1944,14769
1945,15120
1946,19059
1947,22415
1948,22292
1949,23566
1950,24183
1951,26457
1952,28010
1953,28909
1954,30278
1955,30964
1956,32219
1957,32583
1958,32454
1959,33543
1960,33696
1961,33789
1962,33438
1963,32815
1964,31381
1965,29406
1966,28197
1967,27544
1968,28068
1969,29680
1970,30573
1971,29188
1972,27492
1973,26832
1974,27601
1975,27702
1976,28524
1977,29717
1978,29578
1979,31408
1980,33246
1981,33226
1982,33643
1983,33034
1984,33592
1985,33545
1986,33452
1987,32823
1988,33744
1989,34090
1990,35087
1991,33932
1992,34155
1993,33892
1994,34336
1995,34174
1996,34010
1997,33418
1998,34782
1999,33856
2000,34379
2001,33299
2002,32372
2003,27597
2004,23935
2005,17153
2006,5654
